dur,sbytes,dbytes,Sload,swin,stcpb,smeansz,Sjit,Djit,Stime,Sintpkt,tcprtt,synack,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ ltm,ct_dst_src_ltm,reconstruction_error,label
0.001953601837158203,168,0,11.362056122129992,0,0,0.0,0.00014257431030273438,0.0,0.0019516960387995776,0.0009763241590027024,0.0,0.0,0,1,1,1,1,,
0.001,82,0,11.314486721293981,0,0,0.0,0.0,0.0,0.0009995003330835331,9.999500033330834e-05,0.0,0.0,2,1,1,1,1,,
0.001,66,0,11.097425172408931,1007,1551435996,0.0,0.0,0.0,0.0009995003330835331,9.999500033330834e-05,0.0,0.0,2,1,1,1,1,,
0.001,103,0,11.542493975902508,0,0,0.0,0.0,0.0,0.0009995003330835331,9.999500033330834e-05,0.0,0.0,1,1,1,1,1,,
0.001,289,0,12.574185427296195,0,0,0.0,0.0,0.0,0.0009995003330835331,9.999500033330834e-05,0.0,0.0,1,1,1,1,1,,
0.001,129,0,11.767575435251748,0,0,0.0,0.0,0.0,0.0009995003330835331,9.999500033330834e-05,0.0,0.0,1,1,1,1,1,,
0.001,159,0,11.976665770490767,0,0,0.0,0.0,0.0,0.0009995003330835331,9.999500033330834e-05,0.0,0.0,1,1,1,1,1,,
0.001,119,0,11.686887175419702,0,0,0.0,0.0,0.0,0.0009995003330835331,9.999500033330834e-05,0.0,0.0,1,1,1,1,1,,
0.001,90,0,11.407576060361786,0,0,0.0,0.0,0.0,0.0009995003330835331,9.999500033330834e-05,0.0,0.0,2,1,1,1,1,,
0.001,90,0,11.407576060361786,0,0,0.0,0.0,0.0,0.0009995003330835331,9.999500033330834e-05,0.0,0.0,2,1,1,1,1,,
0.001,184,0,12.122696471358964,0,0,0.0,0.0,0.0,0.0009995003330835331,9.999500033330834e-05,0.0,0.0,1,1,1,1,1,,
0.0021080970764160156,328,0,11.95498963342133,0,0,0.0,5.2797141036042236e-05,0.0,0.0021058781576910497,0.0007024522481118454,0.0,0.0,1,1,1,1,1,,
0.001,56,0,10.933124826700707,0,0,0.0,0.0,0.0,0.0009995003330835331,9.999500033330834e-05,0.0,0.0,0,1,1,1,1,,
0.001,56,0,10.933124826700707,0,0,0.0,0.0,0.0,0.0009995003330835331,9.999500033330834e-05,0.0,0.0,0,1,1,1,1,,
0.001,82,0,11.314486721293981,0,0,0.0,0.0,0.0,0.0009995003330835331,9.999500033330834e-05,0.0,0.0,1,1,1,1,1,,
0.001,66,0,11.097425172408931,1042,689675659,0.0,0.0,0.0,0.0009995003330835331,9.999500033330834e-05,0.0,0.0,2,1,1,1,1,,
0.001,66,0,11.097425172408931,1025,2085444373,0.0,0.0,0.0,0.0009995003330835331,9.999500033330834e-05,0.0,0.0,2,1,1,1,1,,
0.001,290,0,12.577639650232573,0,0,0.0,0.0,0.0,0.0009995003330835331,9.999500033330834e-05,0.0,0.0,1,1,1,1,1,,
0.001,119,0,11.686887175419702,0,0,0.0,0.0,0.0,0.0009995003330835331,9.999500033330834e-05,0.0,0.0,1,1,1,1,1,,
1.0256686210632324,439,0,6.061488349826875,0,0,0.0,0.10061518447179513,0.0,0.7058998293011145,0.2940787254408537,0.0,0.0,1,1,1,1,1,,
1.0215742588043213,423,0,6.02843950814633,0,0,0.0,0.4801545459332163,0.0,0.7038765439302118,0.293061143972683,0.0,0.0,1,1,1,1,1,,
0.001,100,0,11.51293546492023,0,0,0.0,0.0,0.0,0.0009995003330835331,9.999500033330834e-05,0.0,0.0,1,1,1,1,1,,
0.001,56,0,10.933124826700707,0,0,0.0,0.0,0.0,0.0009995003330835331,9.999500033330834e-05,0.0,0.0,0,1,1,1,1,,
